OID_;Name;Northing;Easting;Elevation;Waypoint;soil_moist;Average_so;F5cm;F10cm;F15cm;Soil_class;O_horizon;Kpa5;Kpa10;Kpa15;Note;Prob;Classified
22;1915;6329168,248200000263751;487297,813480000011623;208,133559999999989;1915;100,000000000000000;10,000000000000000;18,000000000000000;20,000000000000000;21,000000000000000;5,000000000000000;20,000000000000000;100,280434999999997;171,811739999999986;240,788354999999996;block;80;2
23;1916;6329163,839350000023842;487298,505739999993239;208,159719999999993;1916;65,000000000000000;20,000000000000000;20,000000000000000;23,000000000000000;25,000000000000000;4,000000000000000;20,000000000000000;91,339022000000000;150,818857000000008;204,000826999999987;block;41;1
24;1917;6329160,987519999966025;487298,155889999994542;208,752109999999988;1917;45,000000000000000;5,000000000000000;23,000000000000000;30,000000000000000;34,000000000000000;3,000000000000000;10,000000000000000;80,842579999999998;118,163261000000006;152,876982999999996; ;33;1
25;1918;6329157,876170000061393;487296,135460000019521;208,268010000000004;1918;100,000000000000000;20,000000000000000;28,000000000000000;31,000000000000000;32,000000000000000;3,000000000000000;20,000000000000000;68,346817000000001;114,702068999999995;161,752649999999988;block;17;1
26;1919;6329155,163750000298023;487292,430639999976847;209,762560000000008;1919;100,000000000000000;20,000000000000000;19,000000000000000;23,000000000000000;31,000000000000000;5,000000000000000;15,000000000000000;95,574427999999997;150,818857000000008;166,619952000000012;traktorspar;17;1
27;1920;6329171,541079999879003;487297,170240000006743;213,055669999999992;1920;100,000000000000000;20,000000000000000;20,000000000000000;22,000000000000000;23,000000000000000;5,000000000000000;20,000000000000000;91,339022000000000;157,180337000000009;220,795133999999990;block;76;2
28;1921;6329175,054879999719560;487298,718449999985751;209,025949999999995;1921;30,000000000000000;15,000000000000000;37,000000000000000;50,000000000000000;60,000000000000000;5,000000000000000;20,000000000000000;54,365070000000003;75,244478000000001;91,339022000000000; ;78;2
29;1922;6329177,789370000362396;487296,350970000028610;209,515449999999987;1922;100,000000000000000;20,000000000000000;17,000000000000000;18,000000000000000;19,000000000000000;4,000000000000000;30,000000000000000;105,540090000000006;189,694566000000009;264,990677000000005;block;72;2
30;1923;6329180,786079999990761;487297,873380000004545;210,867610000000013;1923;25,000000000000000;20,000000000000000;24,000000000000000;29,000000000000000;30,000000000000000;3,000000000000000;19,000000000000000;77,926901999999998;121,863156000000004;171,811739999999986;block;63;2
31;1924;6329185,073130000382662;487297,579940000025090;214,104389999999995;1924;0,000000000000000;20,000000000000000;8,000000000000000;14,000000000000000;19,000000000000000;3,000000000000000;0,000000000000000;212,048099000000008;240,788354999999996;264,990677000000005;mulljord, rot;35;1
32;2000;6331659,656200000084937;486586,827820000005886;270,987770000000012;2000;100,000000000000000;30,000000000000000;33,000000000000000;48,000000000000000;60,000000000000000;5,000000000000000;30,000000000000000;59,637647999999999;77,926901999999998;91,339022000000000;block;76;2
33;2001;6331658,744979999959469;486591,004929999995511;276,382889999999975;2001;100,000000000000000;30,000000000000000;35,000000000000000;42,000000000000000;47,000000000000000;5,000000000000000;35,000000000000000;56,850714000000004;87,506988000000007;113,597432999999995;block;60;2
34;2002;6331658,145949999801815;486594,971139999979641;277,906870000000026;2002;20,000000000000000;15,000000000000000;13,000000000000000;15,000000000000000;15,000000000000000;3,000000000000000;0,000000000000000;134,670485000000014;225,460218999999995;332,757176000000015;mulljord, block;25;1
35;2003;6331655,990159999579191;486600,207960000028834;281,599440000000016;2003;15,000000000000000;30,000000000000000;8,000000000000000;14,000000000000000;20,000000000000000;3,000000000000000;0,000000000000000;212,048099000000008;240,788354999999996;252,284458000000001;mulljord;8;1
36;2004;6331658,622010000050068;486583,674010000017006;271,848200000000020;2004;100,000000000000000;40,000000000000000;37,000000000000000;44,000000000000000;44,000000000000000;5,000000000000000;50,000000000000000;54,365070000000003;84,023319999999998;120,601827999999998;block;91;2
37;2005;6331660,646730000153184;486581,210079999989830;275,502029999999991;2005;100,000000000000000;30,000000000000000;43,000000000000000;52,000000000000000;54,000000000000000;5,000000000000000;20,000000000000000;48,295475000000003;72,768394999999998;100,280434999999997;block;88;2
38;2006;6331659,675979999825358;486576,047740000009071;276,825550000000021;2006;15,000000000000000;15,000000000000000;13,000000000000000;24,000000000000000;33,000000000000000;3,000000000000000;7,000000000000000;134,670485000000014;144,987501000000009;157,180337000000009;block;69;2
39;2007;6331658,909079999662936;486573,113840000005439;284,555580000000020;2007;20,000000000000000;10,000000000000000;14,000000000000000;19,000000000000000;24,000000000000000;3,000000000000000;6,000000000000000;125,827330000000003;180,282552000000010;212,048099000000008; ;39;1
40;2008;6331662,203370000235736;486568,766509999986738;278,167390000000012;2008;0,000000000000000;10,000000000000000;8,000000000000000;8,000000000000000;8,000000000000000;3,000000000000000;2,000000000000000;212,048099000000008;413,229894000000002;614,411689000000024;block, for tunt markskikt for fuktmtaren;13;1
41;2009;6331834,336059999652207;486630,591339999984484;282,039010000000019;2009;100,000000000000000;30,000000000000000;33,000000000000000;45,000000000000000;48,000000000000000;5,000000000000000;30,000000000000000;59,637647999999999;82,397609000000003;111,457200999999998;block;59;2
42;2010;6331835,143980000168085;486634,992499999993015;286,075350000000014;2010;70,000000000000000;10,000000000000000;9,000000000000000;9,000000000000000;9,000000000000000;4,000000000000000;10,000000000000000;189,694566000000009;368,522829000000002;547,351090999999997;block;9;1
43;2011;6331833,792259999550879;486638,277339999971446;281,693570000000022;2011;15,000000000000000;5,000000000000000;5,000000000000000;5,000000000000000;5,000000000000000;3,000000000000000;1,000000000000000;332,757176000000015;654,648049000000015;976,538920999999959;hll;7;1
44;2012;6331832,243429999798536;486626,546180000004824;287,023820000000001;2012;100,000000000000000;50,000000000000000;74,000000000000000;77,000000000000000;78,000000000000000;5,000000000000000;50,000000000000000;32,615687000000001;52,670313000000000;72,768394999999998;block;87;2
45;2013;6331830,895739999599755;486620,195460000017192;287,178420000000017;2013;30,000000000000000;15,000000000000000;17,000000000000000;26,000000000000000;31,000000000000000;3,000000000000000;8,000000000000000;105,540090000000006;134,670485000000014;166,619952000000012;block;76;2
46;2014;6331828,502089999616146;486617,881180000025779;281,867509999999982;2014;15,000000000000000;5,000000000000000;11,000000000000000;22,000000000000000;30,000000000000000;3,000000000000000;13,000000000000000;157,180337000000009;157,180337000000009;171,811739999999986;block;49;2
47;1511;6332978,771970000118017;487999,325040000025183;200,690930000000009;1511;80,000000000000000;25,000000000000000;16,000000000000000;25,000000000000000;27,000000000000000;4,000000000000000;7,000000000000000;111,457200999999998;139,622653000000014;189,694566000000009;rot;88;2
48;1512;6332982,151119999587536;487998,509049999993294;202,551629999999989;1512;75,000000000000000;25,000000000000000;30,000000000000000;30,000000000000000;30,000000000000000;4,000000000000000;6,000000000000000;64,514781999999997;118,163261000000006;171,811739999999986;block;83;2
49;1513;6332989,063230000436306;487997,421239999996033;202,785010000000000;1513;75,000000000000000;20,000000000000000;25,000000000000000;28,000000000000000;29,000000000000000;4,000000000000000;5,000000000000000;75,244478000000001;125,827330000000003;177,361582999999996;rot;79;2
50;1514;6332990,815460000187159;487996,949120000004768;203,741579999999999;1514;65,000000000000000;20,000000000000000;20,000000000000000;22,000000000000000;22,000000000000000;4,000000000000000;0,000000000000000;91,339022000000000;157,180337000000009;230,337353000000007;mulljord, block;58;2
51;1515;6332993,639809999614954;487996,525759999989532;202,680589999999995;1515;20,000000000000000;30,000000000000000;24,000000000000000;50,000000000000000;59,000000000000000;3,000000000000000;0,000000000000000;77,926901999999998;75,244478000000001;92,702966000000004;mulljord;44;2
52;1516;6332971,519569999538362;487996,207790000014938;207,649759999999986;1516;80,000000000000000;30,000000000000000;27,000000000000000;31,000000000000000;33,000000000000000;5,000000000000000;0,000000000000000;70,475724999999997;114,702068999999995;157,180337000000009;mulljord, block;23;1
53;1517;6332969,338910000398755;488000,533829999971204;202,706119999999999;1517;40,000000000000000;30,000000000000000;18,000000000000000;28,000000000000000;32,000000000000000;4,000000000000000;0,000000000000000;100,280434999999997;125,827330000000003;161,752649999999988;mulljord;15;1
54;1518;6332964,088250000029802;488000,931210000009742;205,908760000000001;1518;25,000000000000000;20,000000000000000;14,000000000000000;19,000000000000000;24,000000000000000;3,000000000000000;0,000000000000000;125,827330000000003;180,282552000000010;212,048099000000008;mulljord;15;1
55;1800;6330921,587539999745786;489153,186790000007022;230,526810000000012;1800;100,000000000000000;25,000000000000000;33,000000000000000;33,000000000000000;33,000000000000000;5,000000000000000;25,000000000000000;59,637647999999999;108,408991999999998;157,180337000000009;block;93;2
56;1801;6330915,764220000244677;489152,690189999993891;241,021379999999994;1801;100,000000000000000;30,000000000000000;33,000000000000000;37,000000000000000;42,000000000000000;5,000000000000000;30,000000000000000;59,637647999999999;97,863837000000004;125,827330000000003;block;94;2
57;1802;6330914,071039999835193;489148,026460000022780;235,834309999999988;1802;80,000000000000000;30,000000000000000;35,000000000000000;57,000000000000000;62,000000000000000;4,000000000000000;30,000000000000000;56,850714000000004;67,338386999999997;88,743127999999999;block;85;2
58;1803;6330910,170560000464320;489144,212189999991097;228,244130000000013;1803;65,000000000000000;25,000000000000000;25,000000000000000;27,000000000000000;30,000000000000000;4,000000000000000;20,000000000000000;75,244478000000001;130,085145000000011;171,811739999999986;block;89;2
59;1804;6330909,222310000099242;489140,626310000021476;228,132949999999994;1804;80,000000000000000;30,000000000000000;17,000000000000000;25,000000000000000;27,000000000000000;3,000000000000000;0,000000000000000;105,540090000000006;139,622653000000014;189,694566000000009;mulljord, block;84;2
60;1805;6330905,373069999739528;489138,017219999979716;229,159809999999993;1805;10,000000000000000;20,000000000000000;13,000000000000000;21,000000000000000;23,000000000000000;3,000000000000000;0,000000000000000;134,670485000000014;164,147672000000000;220,795133999999990;mulljord, block;78;2
61;1806;6330922,624429999850690;489155,464029999973718;232,313009999999991;1806;100,000000000000000;30,000000000000000;39,000000000000000;43,000000000000000;51,000000000000000;5,000000000000000;30,000000000000000;52,134363999999998;85,724646000000007;105,540090000000006;block;93;2
62;1807;6330928,725850000046194;489157,196790000016335;231,033279999999991;1807;100,000000000000000;30,000000000000000;26,000000000000000;41,000000000000000;50,000000000000000;5,000000000000000;30,000000000000000;72,768394999999998;89,376272999999998;107,433565000000002;block;91;2
63;1808;6330930,756760000251234;489161,125000000000000;234,545459999999991;1808;100,000000000000000;40,000000000000000;38,000000000000000;43,000000000000000;45,000000000000000;5,000000000000000;40,000000000000000;53,220365999999999;85,724646000000007;118,163261000000006;block;93;2
64;1809;6330934,157569999806583;489162,135360000014771;228,321529999999996;1809;100,000000000000000;60,000000000000000;40,000000000000000;53,000000000000000;53,000000000000000;5,000000000000000;60,000000000000000;51,102663000000000;71,600431000000000;101,967494000000002;block;89;2
65;1810;6330937,228289999999106;489167,676359999983106;234,894980000000004;1810;100,000000000000000;45,000000000000000;42,000000000000000;50,000000000000000;54,000000000000000;5,000000000000000;45,000000000000000;49,186646000000003;75,244478000000001;100,280434999999997; ;87;2
66;1811;6330938,075229999609292;489171,556020000018179;226,928619999999995;1811;90,000000000000000;15,000000000000000;30,000000000000000;33,000000000000000;33,000000000000000;5,000000000000000;15,000000000000000;64,514781999999997;108,408991999999998;157,180337000000009;block, traktorspar;84;2
67;1812;6330956,619409999810159;489122,233940000005532;226,501309999999989;1812;100,000000000000000;10,000000000000000;21,000000000000000;22,000000000000000;22,000000000000000;5,000000000000000;10,000000000000000;87,506988000000007;157,180337000000009;230,337353000000007;block;95;2
68;1813;6330960,603570000268519;489124,353680000000168;226,598849999999999;1813;80,000000000000000;10,000000000000000;18,000000000000000;30,000000000000000;30,000000000000000;4,000000000000000;30,000000000000000;100,280434999999997;118,163261000000006;171,811739999999986;block;92;2
69;1814;6330964,483280000276864;489125,179270000022370;227,496180000000010;1814;50,000000000000000;10,000000000000000;12,000000000000000;12,000000000000000;21,000000000000000;3,000000000000000;10,000000000000000;144,987501000000009;279,108697000000006;240,788354999999996; ;88;2
70;1815;6330966,322189999744296;489129,327170000004116;226,871170000000006;1815;13,000000000000000;10,000000000000000;10,000000000000000;11,000000000000000;12,000000000000000;3,000000000000000;0,000000000000000;171,811739999999986;303,494370000000004;413,229894000000002;mulljord, block;86;2
71;1816;6330951,050850000232458;489122,398189999978058;234,388779999999997;1816;100,000000000000000;10,000000000000000;25,000000000000000;27,000000000000000;28,000000000000000;5,000000000000000;10,000000000000000;75,244478000000001;130,085145000000011;183,307842999999991;block;88;2
72;1817;6330950,042019999586046;489117,655229999974836;229,332879999999989;1817;100,000000000000000;10,000000000000000;13,000000000000000;15,000000000000000;18,000000000000000;4,000000000000000;10,000000000000000;134,670485000000014;225,460218999999995;279,108697000000006;block;93;2
73;1818;6330946,107149999588728;489112,275879999971949;229,843600000000009;1818;70,000000000000000;30,000000000000000;45,000000000000000;48,000000000000000;48,000000000000000;4,000000000000000;30,000000000000000;46,631956000000002;77,926901999999998;111,457200999999998;block;87;2
74;1819;6330936,735030000098050;489108,965150000003632;235,815650000000005;1819;15,000000000000000;10,000000000000000;10,000000000000000;10,000000000000000;10,000000000000000;3,000000000000000;0,000000000000000;171,811739999999986;332,757176000000015;493,702611999999988;mulljord, block;50;2
75;1600;6335953,291670000180602;486109,741649999981746;205,770330000000001;1600;100,000000000000000;50,000000000000000;27,000000000000000;50,000000000000000;64,000000000000000;5,000000000000000;12,000000000000000;70,475724999999997;75,244478000000001;86,309477000000001; ;70;2
76;1601;6335952,301009999588132;486104,529189999972004;206,925800000000010;1601;70,000000000000000;50,000000000000000;10,000000000000000;25,000000000000000;50,000000000000000;4,000000000000000;10,000000000000000;171,811739999999986;139,622653000000014;107,433565000000002; ;67;2
77;1602;6335950,376910000108182;486100,885720000020228;208,106740000000002;1602;50,000000000000000;55,000000000000000;16,000000000000000;25,000000000000000;35,000000000000000;4,000000000000000;9,000000000000000;111,457200999999998;139,622653000000014;148,819535000000002; ;84;2
78;1603;6335948,823880000039935;486098,618959999992512;206,598369999999989;1603;50,000000000000000;70,000000000000000;20,000000000000000;34,000000000000000;50,000000000000000;4,000000000000000;8,000000000000000;91,339022000000000;105,540090000000006;107,433565000000002; ;82;2
79;1604;6335953,207299999892712;486091,633529999991879;207,779050000000012;1604;20,000000000000000;50,000000000000000;15,000000000000000;25,000000000000000;34,000000000000000;3,000000000000000;8,000000000000000;118,163261000000006;139,622653000000014;152,876982999999996; ;76;2
80;1605;6335947,165839999914169;486086,752440000011120;210,129390000000001;1605;100,000000000000000;45,000000000000000;26,000000000000000;40,000000000000000;45,000000000000000;5,000000000000000;0,000000000000000;72,768394999999998;91,339022000000000;118,163261000000006;strandbank, sand och organiskt material blandat;68;2
81;1606;6335955,281779999844730;486082,034560000000056;208,142989999999998;1606;70,000000000000000;60,000000000000000;23,000000000000000;45,000000000000000;60,000000000000000;4,000000000000000;10,000000000000000;80,842579999999998;82,397609000000003;91,339022000000000; ;54;1
82;1607;6335955,803659999743104;486079,639290000020992;206,560740000000010;1607;80,000000000000000;55,000000000000000;23,000000000000000;30,000000000000000;40,000000000000000;4,000000000000000;5,000000000000000;80,842579999999998;118,163261000000006;131,575380999999993; ;53;1
83;1608;6335957,547709999606013;486076,284199999994598;205,377960000000002;1608;100,000000000000000;45,000000000000000;27,000000000000000;37,000000000000000;39,000000000000000;4,000000000000000;5,000000000000000;70,475724999999997;97,863837000000004;134,670485000000014; ;50;1
84;1609;6335957,746290000155568;486070,696110000018962;206,854849999999999;1609;30,000000000000000;50,000000000000000;18,000000000000000;27,000000000000000;37,000000000000000;3,000000000000000;7,000000000000000;100,280434999999997;130,085145000000011;141,362603000000007; ;21;1
85;1700;6335985,122179999947548;486146,286169999977574;207,401819999999987;1700;50,000000000000000;60,000000000000000;5,000000000000000;22,000000000000000;32,000000000000000;4,000000000000000;13,000000000000000;332,757176000000015;157,180337000000009;161,752649999999988; ;72;2
86;1701;6335987,007989999838173;486150,395729999989271;205,839439999999996;1701;90,000000000000000;60,000000000000000;20,000000000000000;30,000000000000000;40,000000000000000;4,000000000000000;7,000000000000000;91,339022000000000;118,163261000000006;131,575380999999993; ;36;1
87;1702;6335988,982569999992847;486154,359240000019781;207,009600000000006;1702;30,000000000000000;50,000000000000000;23,000000000000000;40,000000000000000;52,000000000000000;3,000000000000000;0,000000000000000;80,842579999999998;91,339022000000000;103,719440000000006;mulljord;15;1
88;1703;6335991,053919999860227;486157,711179999983869;207,469300000000004;1703;25,000000000000000;45,000000000000000;11,000000000000000;18,000000000000000;28,000000000000000;3,000000000000000;0,000000000000000;157,180337000000009;189,694566000000009;183,307842999999991;mulljord;10;1
89;1704;6335985,391060000285506;486137,254970000009052;203,714359999999999;1704;100,000000000000000;50,000000000000000;45,000000000000000;54,000000000000000;58,000000000000000;5,000000000000000;0,000000000000000;46,631956000000002;70,475724999999997;94,113943000000006;mulljord;81;2
90;1705;6335983,701080000028014;486131,247050000005402;207,883610000000004;1705;40,000000000000000;55,000000000000000;5,000000000000000;24,000000000000000;39,000000000000000;3,000000000000000;15,000000000000000;332,757176000000015;144,987501000000009;134,670485000000014; ;82;2
91;1706;6335984,065619999542832;486128,264919999986887;210,053750000000008;1706;60,000000000000000;65,000000000000000;25,000000000000000;33,000000000000000;52,000000000000000;3,000000000000000;0,000000000000000;75,244478000000001;108,408991999999998;103,719440000000006;mulljord;76;2
92;1707;6335985,657619999721646;486124,030030000023544;205,597730000000013;1707;60,000000000000000;60,000000000000000;16,000000000000000;31,000000000000000;51,000000000000000;3,000000000000000;7,000000000000000;111,457200999999998;114,702068999999995;105,540090000000006; ;58;2
93;1708;6335988,446539999917150;486121,331279999983963;209,435579999999987;1708;80,000000000000000;45,000000000000000;29,000000000000000;39,000000000000000;44,000000000000000;4,000000000000000;0,000000000000000;66,364729999999994;93,402424999999994;120,601827999999998;mulljord;58;2
94;1709;6335987,759870000183582;486117,397990000026766;203,464810000000000;1709;35,000000000000000;50,000000000000000;23,000000000000000;33,000000000000000;42,000000000000000;3,000000000000000;0,000000000000000;80,842579999999998;108,408991999999998;125,827330000000003;mulljord;57;1
95;1710;6333758,795540000312030;486695,671459999983199;222,700279999999992;1710;100,000000000000000;10,000000000000000;10,000000000000000;13,000000000000000;14,000000000000000;5,000000000000000;0,000000000000000;171,811739999999986;258,474667000000011;355,749381000000028;mulljord, block;93;2
96;1711;6333754,862959999591112;486698,775870000012219;219,596450000000004;1711;10,000000000000000;7,000000000000000;8,000000000000000;10,000000000000000;10,000000000000000;3,000000000000000;0,000000000000000;212,048099000000008;332,757176000000015;493,702611999999988;mulljord, block;86;2
97;1712;6333751,638009999878705;486702,965489999973215;220,548200000000008;1712;17,000000000000000;5,000000000000000;10,000000000000000;11,000000000000000;13,000000000000000;3,000000000000000;0,000000000000000;171,811739999999986;303,494370000000004;382,278848999999980;mulljord, block;61;2
98;1713;6333752,096470000222325;486705,075379999994766;223,951040000000006;1713;20,000000000000000;10,000000000000000;8,000000000000000;14,000000000000000;19,000000000000000;3,000000000000000;0,000000000000000;212,048099000000008;240,788354999999996;264,990677000000005;mulljord, block;72;2
99;1714;6333758,321680000051856;486692,455139999976382;228,321899999999999;1714;100,000000000000000;25,000000000000000;17,000000000000000;21,000000000000000;28,000000000000000;5,000000000000000;25,000000000000000;105,540090000000006;164,147672000000000;183,307842999999991;block;94;2
100;1715;6333760,841880000196397;486680,620880000002217;226,367580000000004;1715;20,000000000000000;10,000000000000000;14,000000000000000;16,000000000000000;18,000000000000000;4,000000000000000;0,000000000000000;125,827330000000003;212,048099000000008;279,108697000000006;mulljord;18;1
101;1716;6333760,650340000167489;486678,508529999991879;221,705500000000001;1716;20,000000000000000;7,000000000000000;10,000000000000000;12,000000000000000;12,000000000000000;3,000000000000000;0,000000000000000;171,811739999999986;279,108697000000006;413,229894000000002;mulljord,  block;16;1
102;1820;6334318,889980000443757;484906,630490000010468;278,132670000000019;1820;100,000000000000000;35,000000000000000;36,000000000000000;40,000000000000000;50,000000000000000;5,000000000000000;35,000000000000000;55,573369000000000;91,339022000000000;107,433565000000002;block;93;2
103;1821;6334315,633709999732673;484901,692689999996219;280,408270000000016;1821;90,000000000000000;35,000000000000000;32,000000000000000;44,000000000000000;53,000000000000000;4,000000000000000;35,000000000000000;61,161752999999997;84,023319999999998;101,967494000000002; ;60;2
104;1822;6334314,383059999905527;484898,239920000021812;276,246600000000001;1822;45,000000000000000;18,000000000000000;13,000000000000000;13,000000000000000;13,000000000000000;4,000000000000000;18,000000000000000;134,670485000000014;258,474667000000011;382,278848999999980; ;50;2
105;1823;6334312,024459999985993;484895,088430000003427;277,335469999999987;1823;45,000000000000000;20,000000000000000;5,000000000000000;10,000000000000000;21,000000000000000;3,000000000000000;20,000000000000000;332,757176000000015;332,757176000000015;240,788354999999996; ;37;1
106;1824;6334309,500769999809563;484890,252579999971204;278,288149999999973;1824;20,000000000000000;35,000000000000000;9,000000000000000;22,000000000000000;33,000000000000000;3,000000000000000;40,000000000000000;189,694566000000009;157,180337000000009;157,180337000000009; ;11;1
107;1825;6334320,076519999653101;484910,557789999991655;281,502360000000010;1825;100,000000000000000;30,000000000000000;34,000000000000000;36,000000000000000;37,000000000000000;5,000000000000000;40,000000000000000;58,203197000000003;100,280434999999997;141,362603000000007;block;78;2
108;1826;6334319,876469999551773;484915,043750000011642;278,512810000000002;1826;100,000000000000000;25,000000000000000;24,000000000000000;26,000000000000000;27,000000000000000;4,000000000000000;30,000000000000000;77,926901999999998;134,670485000000014;189,694566000000009;block;83;2
109;1827;6334318,546749999746680;484920,163149999978486;274,755089999999996;1827;55,000000000000000;30,000000000000000;28,000000000000000;30,000000000000000;70,000000000000000;4,000000000000000;45,000000000000000;68,346817000000001;118,163261000000006;79,842918999999995;block;78;2
110;1828;6334321,116999999620020;484923,124780000012834;278,692900000000009;1828;100,000000000000000;30,000000000000000;30,000000000000000;43,000000000000000;49,000000000000000;4,000000000000000;30,000000000000000;64,514781999999997;85,724646000000007;109,404325999999998;block;61;2
111;1829;6334318,716889999806881;484926,571649999998044;275,084569999999985;1829;50,000000000000000;30,000000000000000;19,000000000000000;33,000000000000000;47,000000000000000;3,000000000000000;12,000000000000000;95,574427999999997;108,408991999999998;113,597432999999995; ;40;1
